month,clinic,total_appointments,total_noshows,avg_wait_mins,attendance_rate_pct,avg_staff_on_shift,appts_per_staff,status
2025-01,CHC-Cardio,54,8,44.8,85.2,5.8,9.31,AMBER
2025-01,CHC-Diabetes,57,11,42.3,80.7,5.8,9.83,AMBER
2025-01,CHC-MentalHealth,55,8,45.6,85.5,5.7,9.65,RED
2025-01,CHC-Physio,73,13,48.8,82.2,6.0,12.17,RED
2025-01,CHC-Respiratory,53,10,43.9,81.1,6.2,8.55,AMBER
2025-02,CHC-Cardio,71,10,48.3,85.9,6.2,11.45,RED
2025-02,CHC-Diabetes,82,14,53.9,82.9,5.9,13.9,RED
2025-02,CHC-MentalHealth,73,8,44.5,89.0,6.0,12.17,AMBER
2025-02,CHC-Physio,68,10,51.8,85.3,5.9,11.53,RED
2025-02,CHC-Respiratory,50,5,48.5,90.0,6.0,8.33,RED
2025-03,CHC-Cardio,76,12,47.4,84.2,6.2,12.26,RED
2025-03,CHC-Diabetes,77,8,45.7,89.6,6.2,12.42,RED
2025-03,CHC-MentalHealth,68,6,43.7,91.2,6.1,11.15,AMBER
2025-03,CHC-Physio,61,11,46.3,82.0,5.8,10.52,RED
2025-03,CHC-Respiratory,65,11,51.3,83.1,6.2,10.48,RED
2025-04,CHC-Cardio,55,6,49.1,89.1,5.8,9.48,RED
2025-04,CHC-Diabetes,67,18,47.0,73.1,6.1,10.98,RED
2025-04,CHC-MentalHealth,69,5,50.5,92.8,5.9,11.69,RED
2025-04,CHC-Physio,57,17,43.0,70.2,5.5,10.36,RED
2025-04,CHC-Respiratory,78,15,53.2,80.8,6.0,13.0,RED
2025-05,CHC-Cardio,71,7,48.8,90.1,5.9,12.03,RED
2025-05,CHC-Diabetes,59,11,53.5,81.4,6.0,9.83,RED
2025-05,CHC-MentalHealth,55,11,43.7,80.0,6.3,8.73,AMBER
2025-05,CHC-Physio,63,10,49.0,84.1,6.0,10.5,RED
2025-05,CHC-Respiratory,68,11,48.1,83.8,5.6,12.14,RED
2025-06,CHC-Cardio,73,8,46.5,89.0,6.1,11.97,RED
2025-06,CHC-Diabetes,89,14,50.3,84.3,6.1,14.59,RED
2025-06,CHC-MentalHealth,56,6,50.7,89.3,5.9,9.49,RED
2025-06,CHC-Physio,57,11,49.9,80.7,5.5,10.36,RED
2025-06,CHC-Respiratory,78,12,49.0,84.6,5.8,13.45,RED
2025-07,CHC-Cardio,66,7,46.1,89.4,6.1,10.82,RED
2025-07,CHC-Diabetes,75,12,45.5,84.0,5.8,12.93,RED
2025-07,CHC-MentalHealth,62,7,54.5,88.7,6.1,10.16,RED
2025-07,CHC-Physio,77,15,47.6,80.5,5.6,13.75,RED
2025-07,CHC-Respiratory,67,4,43.6,94.0,6.1,10.98,AMBER
2025-08,CHC-Cardio,70,10,47.0,85.7,5.8,12.07,RED
2025-08,CHC-Diabetes,62,15,51.8,75.8,5.9,10.51,RED
2025-08,CHC-MentalHealth,61,9,51.3,85.2,6.0,10.17,RED
2025-08,CHC-Physio,67,21,44.0,68.7,6.1,10.98,RED
2025-08,CHC-Respiratory,72,14,52.6,80.6,6.0,12.0,RED
2025-09,CHC-Cardio,67,7,46.7,89.6,6.0,11.17,RED
2025-09,CHC-Diabetes,59,9,51.5,84.7,6.5,9.08,RED
2025-09,CHC-MentalHealth,57,6,55.2,89.5,5.6,10.18,RED
2025-09,CHC-Physio,53,8,41.4,84.9,6.1,8.69,AMBER
2025-09,CHC-Respiratory,71,12,44.5,83.1,6.3,11.27,AMBER
2025-10,CHC-Cardio,75,7,46.2,90.7,5.8,12.93,RED
2025-10,CHC-Diabetes,72,8,45.6,88.9,5.6,12.86,RED
2025-10,CHC-MentalHealth,68,10,53.2,85.3,6.2,10.97,RED
2025-10,CHC-Physio,72,10,43.6,86.1,6.1,11.8,AMBER
2025-10,CHC-Respiratory,64,14,47.3,78.1,6.4,10.0,RED
2025-11,CHC-Cardio,69,11,45.3,84.1,5.8,11.9,RED
2025-11,CHC-Diabetes,66,11,51.6,83.3,5.9,11.19,RED
2025-11,CHC-MentalHealth,62,14,42.3,77.4,5.8,10.69,RED
2025-11,CHC-Physio,45,9,45.5,80.0,5.8,7.76,RED
2025-11,CHC-Respiratory,59,9,44.7,84.7,6.6,8.94,AMBER
2025-12,CHC-Cardio,81,16,45.3,80.2,5.8,13.97,RED
2025-12,CHC-Diabetes,67,9,52.2,86.6,6.0,11.17,RED
2025-12,CHC-MentalHealth,75,10,46.2,86.7,5.8,12.93,RED
2025-12,CHC-Physio,65,7,45.5,89.2,6.1,10.66,RED
2025-12,CHC-Respiratory,85,15,47.7,82.4,5.5,15.45,RED
2026-01,CHC-Cardio,2,0,66.0,100.0,5.5,0.36,RED
2026-01,CHC-Diabetes,4,1,64.8,75.0,6.0,0.67,RED
2026-01,CHC-MentalHealth,2,0,32.5,100.0,6.0,0.33,AMBER
2026-01,CHC-Physio,1,0,23.0,100.0,5.0,0.2,GREEN
2026-01,CHC-Respiratory,2,0,79.5,100.0,7.0,0.29,RED
